,best_model,best_score,r2_score
LinearRegression,LinearRegression(),0.9368241579136418,0.937297515545296
Lasso,Lasso(),0.9368527109106568,0.9372637996466201
Ridge,Ridge(alpha=2.0),0.9368254852402474,0.9372961970587695
Elasticnet,ElasticNet(l1_ratio=0.6),0.8637104385109282,0.8620272276973404
